Y	A	Target
1	14	148
15	14	148
16	14	148
86	14	148
88	14	148
96	14	148
127	14	148
128	14	148
132	14	148
55	18	148
61	18	148
71	18	148
16	22	148
46	22	148
48	22	148
60	22	148
1	23	148
16	23	148
68	23	148
104	23	148
127	23	148
130	23	148
145	23	148
48	31	148
55	31	148
60	31	148
79	31	148
96	31	148
60	38	148
103	38	148
68	38	148
55	38	148
108	38	148
59	38	148
132	38	148
80	38	148
127	38	148
96	38	148
16	39	148
46	39	148
48	39	148
55	39	148
79	39	148
85	39	148
87	39	148
88	39	148
68	110	148
127	110	148
16	112	148
48	112	148
59	112	148
60	112	148
68	112	148
96	112	148
108	112	148
127	112	148
130	112	148
36	121	148
55	121	148
79	121	148
130	121	148
68	122	148
111	122	148
130	122	148
48	123	148
52	123	148
55	123	148
60	123	148
61	123	148
79	123	148
1	124	148
16	124	148
55	124	148
61	124	148
68	124	148
79	124	148
96	124	148
16	125	148
55	125	148
60	125	148
103	125	148
126	131	148
127	131	148
